address,value_out,value_in,balance,degree,degree_in,degree_out,max_value,min_value,mean_value,std_value,median_value,label
0x6cd0137840e96466bb7caff7073569cfba619dd5,0.8987173070153012,0.8999999999999999,-0.0012826929846987412,9,7,2,0.6995933690833781,0.1,0.19985747855725566,0.19987312197540869,0.1,0
0x6cfdde4e08c9e2cf1b9a32d2c31203966b17f816,0.10865445,0.10873845,-8.400000000000074e-05,2,1,1,0.10873845,0.10865445,0.10869645,5.9396969619670516e-05,0.10869645,0
0x6d08f8573e742db3eb88d8c545971e4dc9668528,32.75818447670805,32.76301447670805,-0.004829999999998336,19,9,10,10.805712208517239,0.01414625,3.4484841554429537,3.4696935246234992,2.273517,0
0x6d0aef62e321cf1afb74a4a305f380d9f5c34c8a,31.355524666000004,31.359952666,-0.004427999999997212,30,25,5,17.17,0.00130526,2.090515911066667,4.203703622958341,0.5065,0
0x6d0b90ea2951ca5ad3abdb606e4146e9765f1ee4,96.01467637282758,94.5507018588276,1.463974513999986,171,120,51,95.7,0.0,1.1144174165593868,7.7820658509251315,0.008409376,0
0x6d1ca9ee33f0806bd37a8ac4c418a0ecb0c9f086,0.0,0.001515472979116782,-0.001515472979116782,1,1,0,0.001515472979116782,0.001515472979116782,0.001515472979116782,,0.001515472979116782,0
0x6d2266c11c40907bebdcd6ea6eb3f5df31d5d8d5,0.0,6.6,-6.6,19,19,0,0.6,0.3,0.34736842105263155,0.11239029738980327,0.3,0
0x6d2510f81182c554a38c9A337D746468B243c7B5,0.0,0.0,0.0,11,0,0,8.32044502209891,0.05,1.5636460167452564,2.354931632805376,1.0,0
0x6d38b496dcc9664c6908d8afba6ff926887fc359,0.0,0.0,0.0,47,46,0,0.0,0.0,0.0,0.0,0.0,0
0x6d56b0e1a084c85007ffd69676094d66a5db739a,9.290256939999999,9.29196225,-0.001705310000000182,9,2,7,7.3,0.00521,2.064691021111111,2.2051845617654515,1.23526548,0
0x6d58459fd42595bdb61660541bb5470e2e9a12c1,0.9798994974874372,0.98266602,-0.002766522512562819,2,1,1,0.98266602,0.9798994974874372,0.9812827587437186,0.001956226828938415,0.9812827587437186,0
0x6d64486a5c99139b53239297e0b653d196d05777,61.209405090000004,61.210560089999994,-0.0011549999999900251,13,11,3,30.20940509,0.5,9.339997321538462,12.081795270215865,4.0,0
