0,1,2,3,4,5,6,7,8,9
170000.00985644333,-29999.990143556643,-30000.00014355664,-100000.00014355664,-100000.00013355663,-100000.00013355663,-100000.00013355663,-100001.00013355663,-280000.873271538,-280000.873271538
6274.457083454768,0.4570834547685081,-499.5429165452315,-999.5429165452315,-4999.5429165452315,-5673.2961240822315,-5673.2961240822315,-5673.2961240822315,-5673.2961240822315,-5673.2961240822315
59999.899999999994,29999.899999999994,-9999.100000000006,-39999.100000000006,-69999.1,-89999.1,-109999.1,-9999.100000000006,-29999.100000000006,-59999.100000000006
34239.0,9239.0,-20999.984884811,-18499.994884811,-15699.004884811,-13398.014884811,-11397.024884811,-11197.024884811,-10947.024884811,-10837.024884811
13852.043000000001,8852.043000000001,5852.0430000000015,2852.0430000000015,847.0430000000015,-14152.956999999999,-17002.957,-17002.957,-17002.957,-17002.957
3611.549327699,4211.549327699,211.54932769900006,-788.4506723009999,-2788.450672301,-3988.450672301,-3388.450672301,-3988.450672301,-3388.450672301,-3888.450672301
17143.019680167698,2143.0196801676975,-1221.980319832302,-1221.943848012302,-1269.683848012302,-2318.183848012302,-18416.283848012303,-17416.203960012303,-32416.203960012303,-34514.4039600123
15801.711212498949,276.71121249894895,-1431.288787501051,-17078.017304217552,-20078.017304217552,-17078.017304217552,-14078.017304217552,-14078.017304217552,-14078.017304217552,-14078.017304217552
5517.13192,0.13191999999980908,432.1319199999998,0.13191999999980908,551.1319199999998,0.13191999999980908,-0.968080000000191,-0.26808000000019105,-20000.26808,-20000.26808
2429.483492217702,2524.8835509866553,-3070.1164490133447,-3070.1164490133447,-3070.1164490133447,-4220.116449013345,-4220.116449013345,-4720.116449013345,-6220.116449013345,-8220.116449013345
