0
"[1.23787841e+05 1.23687841e+05 1.23587841e+05 2.41256000e-01
 2.41256000e-01 2.41256000e-01 2.41256000e-01 2.41256000e-01
 2.41256000e-01 2.41256000e-01]"
"[1.09337651e+05 8.93376505e+04 8.93366505e+04 4.93376505e+04
 1.93376505e+04 6.50543965e-01 2.50543965e-01 1.50543965e-01
 1.50543965e-01 1.50543965e-01]"
"[ 15801.7112125     276.7112125   -1431.2887875  -17078.01730422
 -20078.01730422 -17078.01730422 -14078.01730422 -14078.01730422
 -14078.01730422 -14078.01730422]"
"[1.5387e+04 1.5374e+04 1.5344e+04 1.0000e-02 1.0000e-02 1.0000e-02
 1.0000e-02 1.0000e-02 1.0000e-02 1.0000e-02]"
"[8.57862802e+04 8.57862802e+04 5.78628021e+03 3.15999623e-03
 3.15999623e-03 3.15999623e-03 3.15999623e-03 3.15999623e-03
 3.15999623e-03 3.15999623e-03]"
"[ 2.20170178e+04  2.20163670e+04  2.20063670e+04 -2.56184425e+00
 -2.56184425e+00 -2.56184425e+00 -2.56184425e+00 -2.56184425e+00
 -2.56184425e+00 -2.56184425e+00]"
"[2.00000770e+05 3.30000770e+05 3.09999770e+05 9.99877030e+03
 3.10669796e-03 3.10669796e-03 3.10669796e-03 3.10669796e-03
 3.10669796e-03 3.10669796e-03]"
"[1.02003005e+05 1.00003005e+05 8.00030050e+04 3.00501000e+00
 3.00501000e+00 3.00501000e+00 3.00501000e+00 3.00501000e+00
 3.00501000e+00 3.00501000e+00]"
"[3.04964702e+04 3.04963702e+04 3.04958702e+04 6.11100000e-03
 6.11100000e-03 6.11100000e-03 6.11100000e-03 6.11100000e-03
 6.11100000e-03 6.11100000e-03]"
"[1.01000003e+05 7.10000028e+04 4.10000028e+04 6.73092002e-03
 6.93092002e-03 1.04970136e-01 1.01049701e+01 5.10497014e+00]"
