address,value_out,value_in,balance,degree,degree_in,degree_out,max_value,min_value,mean_value,std_value,median_value,motif1,motif1_00,motif1_01,motif1_10,motif1_11,motif2,motif3,motif1_ratio,motif2_ratio,motif3_ratio,motif1_00_ratio,motif1_01_ratio,motif1_10_ratio,motif1_11_ratio,0,1,2,3,4,5,6,7,8,9,label
0x000000000532b45f47779fce440748893b257865,117.12947344839678,117.1320249483968,-0.0025515000000098,23,20,3,39.044,0.0004099383967846,10.185282538991023,12.063354115302804,5.0,136,136,0,0,0,788,20,0.1440677966101695,0.8347457627118644,0.0211864406779661,1.0,0.0,0.0,0.0,67682.93490446953,55357.86954139118,14238.730041628036,8353.928243287872,38354.88830925737,11993.482351773413,156493.98031983708,51710.90325028021,16639.793389764807,45925.99307785125,0
0x00000000072d54638c2c2a3da3f715360269eea1,215.9655326709009,215.19390962660003,0.7716230443008669,53,30,23,208.0900088078228,0.0,8.13508381693398,30.835011740627863,0.100444548674573,443,177,20,197,49,670,238,0.32790525536639525,0.49592894152479644,0.17616580310880828,0.39954853273137697,0.045146726862302484,0.44469525959367945,0.11060948081264109,67629.67573431652,55292.85212714209,14260.51320907994,8301.731341862267,38309.99267022787,11940.940031332435,156440.899011112,51657.94824621398,16586.992016309257,45869.66208743801,0
0x0000000009324b6434d7766af41908e4c49ee1d7,164.2090427000516,164.2149017000516,-0.0058589999999867,15,9,6,100.0,0.01,21.894929626673548,25.89482795948533,15.19483358,114,99,0,15,0,254,30,0.2864321608040201,0.6381909547738693,0.07537688442211055,0.868421052631579,0.0,0.13157894736842105,0.0,67685.18494224317,55363.78869210175,14246.458843024358,8356.194605962746,38355.49044443623,11995.742775916207,156495.68231210677,51713.38170653645,16642.04815943146,45929.378110847974,0
0x0000000086c5d614bec59dfd2c9b88f7cb57f23c,60.502304943000006,50.502913943,9.999391000000005,6,5,1,60.502304943000006,5.0,18.50086981433333,21.866757532198832,8.1500196415,20,20,0,0,0,100,0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,67725.22812759446,55411.81755177159,14237.974418247679,8396.189944762935,38387.115176447114,12035.746274381436,156534.66307153815,51753.43369862397,16682.067881838226,45972.09572640404,0
0x00000000bf02300fd6251627aa3db8933a0eee83,101.76101350433622,81.7664235043362,19.994590000000017,24,20,4,41.477,0.0022901,7.646976542028018,10.16726906422008,3.049,53,53,0,0,0,536,0,0.0899830220713073,0.9100169779286927,0.0,1.0,0.0,0.0,0.0,67714.08633081362,55394.425091265344,14233.516696596773,8385.046709654907,38381.23165415042,12024.610915673018,156524.80767868372,51741.96002509044,16670.929979708642,45959.14836929383,0
0x00000e32e51011e28958d4696627c82c3dacd5a6,1.2977856588427157,1.2620087588427158,0.0357768999999998,43,31,12,0.27835196,0.0,0.0595301027368705,0.0687815041037326,0.027,212,147,46,8,9,976,32,0.1737704918032787,0.8,0.02622950819672131,0.6933962264150944,0.2169811320754717,0.03773584905660377,0.04245283018867924,67746.474318685,55430.06658753682,14251.353731672436,8417.427432077886,38408.26733525756,12056.993226744766,156556.74892359588,51774.05648333993,16703.315687267746,45993.036629566115,0
0x00067010f3ae17aa53e2b4d5142dda35380cf72d,3.24011274,3.24034899,-0.0002362500000003,10,9,1,3.24011274,0.005,0.648046173,1.3041701415655054,0.0382528,40,40,0,0,0,282,0,0.12422360248447205,0.8757763975155279,0.0,1.0,0.0,0.0,0.0,67744.87138907913,55428.200197141894,14251.041570936957,8415.824503486956,38406.917931167045,12055.390260322409,156555.1694236651,51772.462981264835,16701.712747653408,45991.34720603793,0
0x0020731604c882cf7bf8c444be97d17b19ea4316,17.528747452227762,17.579884852227764,-0.0511374000000017,18,15,3,11.27787245222776,0.0001,1.9504795724697517,2.5895699411169266,1.0013055,125,69,30,26,0,420,22,0.2204585537918871,0.7407407407407407,0.03880070546737213,0.552,0.24,0.208,0.0,67738.40511058163,55421.50047019523,14249.693071712276,8409.359255874026,38401.07155259749,12048.924331716838,156548.62441382214,51766.096798778286,16695.246271537344,45984.499435813865,0
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1.317896,1.31882,-0.0009240000000001,5,3,2,0.8178,0.00102,0.5273432,0.3343089288385819,0.50039,15,15,0,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,67746.39454083485,55429.995028331905,14251.315692459551,8417.347730614827,38408.177554206304,12056.913403108225,156556.6802308303,51773.9911789782,16703.23586174449,45992.973809375006,0
0x003eb9c77b5b896fcc27adead606d23def34510e,0.0,0.0,0.0,89,88,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2030,0,0.0,1.0,0.0,,,,,67746.63550621227,55430.24738526554,14251.405712271779,8417.588615516323,38408.40114355695,12057.154383026877,156556.90643256152,51774.21647494133,16703.476872162028,45993.20780562726,0
0x003f12c49df27295fe97d4990b7901e2c855adf5,0.537,0.5528846262182413,-0.0158846262182412,19,12,7,0.223,0.01,0.0573623487483284,0.0458297546502804,0.046,79,74,5,0,0,442,6,0.14990512333965844,0.8387096774193549,0.011385199240986717,0.9367088607594937,0.06329113924050633,0.0,0.0,67746.52980909258,55430.14514019706,14251.40194913506,8417.482928714015,38408.304637467365,12057.048686215157,156556.7996278415,51774.11329802582,16703.371162001506,45993.103495114534,0
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,38.13376706056816,37.55604605856816,0.577721001999997,127,98,29,36.7,0.0,0.5959827804656402,3.5937674775626305,0.00707923,460,47,22,389,2,1832,118,0.1908713692946058,0.7601659751037344,0.04896265560165975,0.10217391304347827,0.04782608695652174,0.8456521739130435,0.004347826086956522,67726.61294000279,55406.72596267487,14247.177104016302,8397.566059236226,38391.52213358356,12037.131791952346,156537.0593752831,51754.30480848027,16683.45430159495,45972.04646757056,0
0x0061fb5485dff4bb85c078dca80d19119224d97e,5.043537708,5.04586921,-0.0023315020000005,13,11,2,4.043537708,0.001,0.7761082244615386,1.0133602558306776,0.5,68,61,4,0,3,328,6,0.1691542288557214,0.8159203980099502,0.014925373134328358,0.8970588235294118,0.058823529411764705,0.0,0.04411764705882353,67744.70478155941,55428.40274049452,14250.958991148344,8415.658007151738,38406.70547183891,12055.223549686798,156554.97664787632,51772.318484743664,16701.545993523934,45991.253626299505,0
0x0067b43cb530e683dbffb43f5caacde867472721,3.211054,3.22,-0.0089460000000003,5,2,3,2.22,1.0,1.2862108,0.5229851680336643,1.0626,30,15,0,15,0,10,30,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.5,0.0,0.5,0.0,67745.45331876395,55429.08554851913,14251.062487535539,8416.406211240477,38407.18345108979,12055.972424176929,156555.66564763722,51772.99600070006,16702.29499936696,45991.785450132644,0
0x007a376e488cee20e2b059e683e61af28eea9f63,6.922000000000001,6.925987679999999,-0.003987679999998,14,10,4,3.0,0.01097837,0.989141977142857,0.9857689665088128,0.5039287100000001,151,124,0,22,0,288,54,0.30628803245436104,0.5841784989858012,0.10953346855983773,0.8211920529801324,0.0,0.1456953642384106,0.0,67742.9514088622,55426.20328750421,14250.708910306606,8413.904563432168,38405.23277000898,12053.470518386146,156553.27643262342,51770.54082354119,16699.792879823526,45989.28151496209,0
0x0084515449b037205a33d6d3940a5684126aa4b5,2.7492526798800005,2.751299586823272,-0.0020469069432711,11,9,2,2.0001621898800006,0.0,0.5000502060639339,0.6130065023604829,0.2209713,68,45,13,10,0,252,8,0.2073170731707317,0.7682926829268293,0.024390243902439025,0.6617647058823529,0.19117647058823528,0.14705882352941177,0.0,67745.54664167941,55429.04462704233,14251.192944398128,8416.499757511372,38407.48586288126,12056.065532133083,156555.83394755048,51773.134232940654,16702.388003195214,45992.060163208225,0
0x008f3db10374099a11ec263415cb88c952abeedc,116.996572,117.0001,-0.0035280000000028,13,5,8,50.0,0.0001,17.999744,12.754206975573508,15.0,136,72,0,64,0,54,226,0.3269230769230769,0.12980769230769232,0.5432692307692307,0.5294117647058824,0.0,0.47058823529411764,0.0,67687.12929000663,55363.598092722845,14246.735475091376,8358.179448685163,38356.86936276368,11997.71910533122,156497.8285609382,51714.79217438313,16644.013946732994,45929.92239283584,0
0x009aadbc3826a67b603483e7b1174806d8a782bf,41.084004048851774,41.10196544245174,-0.0179613935999682,253,240,13,10.0,0.0249654424517475,0.3248457292146383,0.9922531971857248,0.1,307,178,83,31,13,1958,54,0.13238464855541182,0.8443294523501509,0.02328589909443726,0.5798045602605864,0.2703583061889251,0.10097719869706841,0.04234527687296417,67741.92222656743,55424.80224603447,14251.522383816742,8412.87543090711,38404.45186928154,12052.441323919733,156552.2792520941,51769.53404471434,16698.763593765765,45988.24257709056,0
0x00c33c49f9a2a920e3f3787204cbda9012d1912e,6.745249334391442,2.518045945730303,4.227203388661139,154,38,116,1.199855602008064,0.0,0.0601512680527386,0.1603531651256413,5e-05,399,7,6,216,170,150,916,0.27235494880546074,0.10238907849829351,0.6252559726962458,0.017543859649122806,0.015037593984962405,0.5413533834586466,0.42606516290726815,67748.82726356226,55432.82234393732,14248.572236424143,8419.780948046504,38410.243781929115,12059.345917741222,156559.07819120167,51776.396277140826,16705.66887377566,45995.52446643325,0
0x00de6bb8c4c4072aa4eb8d7e04d76a00d4621428,3.0,3.1,-0.1,14,1,13,3.1,0.0,0.4357142857142856,1.1077400020257064,0.0,35,0,0,35,0,0,212,0.1417004048582996,0.0,0.8582995951417004,0.0,0.0,1.0,0.0,67744.93756645633,55428.25257824746,14251.134608587048,8415.890677086414,38406.9696645381,12055.456458332754,156555.2233415836,51772.52791575907,16701.77893241778,45991.41324716958,0
0x00e01a648ff41346cdeb873182383333d2184dd1,199.95,200.21649427006636,-0.2664942700663175,37,22,15,49.999313636,0.0,10.81531065594774,12.656262322733044,3.30126333,383,181,0,195,7,568,242,0.32103939647946356,0.47611064543168485,0.20284995808885165,0.4725848563968668,0.0,0.5091383812010444,0.018276762402088774,67665.27164323626,55336.093664125525,14245.996004046454,8336.450109407448,38339.90570923304,11975.948054178045,156476.30201782522,51693.37805128126,16622.209748345864,45907.47639019924,0
0x00EB6f5199cD0B671da371969B1A0F948e982Fea,0.0,0.0,0.0,24,0,0,29.53526877,0.051,2.6695698558333327,6.066400089720925,0.7175,108,86,8,14,0,672,8,0.13705583756345177,0.8527918781725888,0.01015228426395939,0.7962962962962963,0.07407407407407407,0.12962962962962962,0.0,67711.56416526086,55389.04084202925,14256.39304513471,8382.667572984814,38378.85769970452,12022.191040940745,156522.1300978427,51739.34365355483,16668.470642913584,45956.145543783176,0
0x00f91664065c9858628faab8e6dad11c1d5f94d9,35.96394716467254,33.800030775291134,2.1639163893814057,311,278,33,6.2,0.0,0.2243214724757674,0.5785613879918018,0.1,143,101,21,2,3,2342,8,0.057360609707180106,0.9394304051343763,0.003208985158443642,0.7062937062937062,0.14685314685314685,0.013986013986013986,0.02097902097902098,67745.27176705966,55428.74921050228,14249.800634548257,8416.225007091041,38407.272232048614,12055.790434927176,156555.57545833284,51772.86457686335,16702.113147977776,45991.782818421794,0
0x0111a93692b5ccff5c4b006d88d82664f76dfd21,4.181529842874011,4.195473842874011,-0.0139440000000004,18,10,8,3.0,0.003194,0.4653890936526679,0.7513260909022341,0.1,203,95,9,88,3,200,152,0.36576576576576575,0.36036036036036034,0.27387387387387385,0.46798029556650245,0.04433497536945813,0.43349753694581283,0.014778325123152709,67744.92617127464,55428.35082411117,14251.329523420856,8415.879294770384,38406.95311800708,12055.44515065893,156555.21140835347,51772.51542224214,16701.767546428244,45991.40117037879,0
0x0128282ce73c72decabaeace9358344adff449fe,81.50609361742004,78.92878264,2.5773109774200407,154,31,123,6.319,0.0,1.0417849107624677,1.432475548016256,0.4966676825,312,46,22,191,53,88,890,0.24186046511627907,0.06821705426356589,0.689922480620155,0.14743589743589744,0.07051282051282051,0.6121794871794872,0.16987179487179488,67746.02875782107,55429.70662572226,14249.24171111599,8416.981981066028,38407.80580477668,12056.547785964625,156556.48409566487,51773.60544574993,16702.87047273055,45992.40302697217,0
0x0132946103efffa43337128cf65f0b3531378e87,131.629,129.63009665280077,1.9989033471992173,45,43,2,70.0,0.02710688,5.805757703395573,13.375811879464491,2.01,136,136,0,0,0,1380,6,0.08935611038107753,0.9067017082785808,0.003942181340341655,1.0,0.0,0.0,0.0,67676.73914079774,55350.62350502442,14244.549712030246,8347.711575318024,38349.91326631544,11987.270939037742,156487.91248216887,51704.7931659684,16633.588053812247,45919.67116797299,0
0x015a8f02b4e55b3c93678e5b44f7205ff9e8ece2,16.889803921748516,16.890223921748515,-0.0004199999999983,6,5,1,16.889803921748516,0.047,5.630004640582839,5.9651550573726215,3.33698417,14,14,0,0,0,26,0,0.35,0.65,0.0,1.0,0.0,0.0,0.0,67739.16562223858,55422.865366264865,14249.534160752512,8410.119554647268,38401.543433404746,12049.683876907107,156549.34521434066,51766.92578024102,16696.006063459165,45985.85615429498,0
0x015c0E438b3a01511B98D928BD031D3Dc50AbB9E,0.0,0.0,0.0,20,0,0,3.1571636042179705,0.06,0.5674352808472174,0.7068716140795981,0.325,45,15,0,20,10,30,30,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,67740.42020265516,55422.945277103834,14256.604298777196,8411.378027399165,38403.16195957188,12050.943870591427,156550.74512868165,51768.03536145119,16697.2636268895,45986.63861337413,0
0x0163617542f1e06c126349118483cacc5a1f4e9f,2.726161853550742,2.72962771,-0.003465856449258,9,6,3,1.421336275334355,0.01295327,0.6061988403945269,0.5556969483118406,0.4226927,51,24,4,23,0,130,8,0.2698412698412698,0.6878306878306878,0.042328042328042326,0.47058823529411764,0.0784313725490196,0.45098039215686275,0.0,67746.15066115584,55429.75955819265,14251.272804216878,8417.103850934445,38407.85443605727,12056.669423915428,156556.37953727265,51773.73859267699,16702.991879271314,45992.63595817884,0
0x0167409e6106ec3e3f05a09fcf04606918d21ad5,0.0547136305,0.073349,-0.0186353695,19,2,17,0.07,0.0,0.0067401384473684,0.0184507643571966,0.0,48,10,0,38,0,10,92,0.32,0.06666666666666667,0.6133333333333333,0.20833333333333334,0.0,0.7916666666666666,0.0,67746.5953311668,55430.20018959741,14251.412559256796,8417.548440797387,38408.36727316828,12057.114218961628,156556.86660912575,51774.17651958594,16703.436697350164,45993.16534162311,0
0x016cf0887fb6e1ec7bbfa2fde621725d2a471a88,6031.619227469153,6031.625973819153,-0.0067463499999576,40,12,28,4546.128327199153,0.0,301.5811300322076,874.3233023305874,0.0,75,27,0,48,0,120,26,0.3393665158371041,0.5429864253393665,0.11764705882352941,0.36,0.0,0.64,0.0,66379.29919424787,54120.004142758604,13813.113594981527,7116.877430463823,36728.12897561333,10731.824305106366,155029.59615463414,50316.13200260629,15363.311717390341,44305.937305298045,0
0x0177eb92b752fa0715ee0dce1d860eaf739b5cf4,9.619,9.47241017676896,0.1465898232310412,16,7,9,4.00340847,0.001,1.19321313604806,1.034736352670034,0.975,152,56,7,75,14,94,174,0.3619047619047619,0.22380952380952382,0.4142857142857143,0.3684210526315789,0.046052631578947366,0.4934210526315789,0.09210526315789473,67743.52504292385,55426.735852975224,14251.12925347195,8414.478338870602,38405.71318694991,12054.044547830514,156553.8015756548,51771.10864705058,16700.36666123862,45989.843082898406,0
0x0178499f84c76c9b863318703092080f31dfa1ae,31.555276,31.556725,-0.0014490000000009,6,3,3,24.199329,0.355947,10.518666833333333,10.17636106207887,8.5602,42,19,0,14,9,26,30,0.42857142857142855,0.2653061224489796,0.30612244897959184,0.4523809523809524,0.0,0.3333333333333333,0.21428571428571427,67732.67238276989,55417.1602097557,14247.905413828767,8403.625539011551,38396.02705961511,12043.190896476073,156542.84470247864,51760.29731616549,16689.51340504011,45978.704454430896,0
0x01b4eedf45749b38cb9ad2bae1e98e9fe2ef1d32,49.5844,46.05947346,3.5249265400000027,16,15,1,49.5844,0.0037991,5.9777420912500006,11.90794496499195,3.0,57,57,0,0,0,598,0,0.08702290076335878,0.9129770992366413,0.0,1.0,0.0,0.0,0.0,67721.95732977298,55403.2514187518,14243.453086219164,8392.911154907775,38387.80650058604,12032.47563639773,156532.6004978534,51749.721184782924,16678.7984532113,45967.37096984916,0
0x01F9eC89417814d6a7b0961Edc24Fe1Cde61f208,0.0,0.0,0.0,22,0,0,0.01,0.0,0.0013205039242191,0.0034055982643349,0.0,0,0,0,0,0,0,664,0.0,0.0,1.0,,,,,67746.61959421236,55430.22869115991,14251.414417031627,8417.572703602875,38408.38772861604,12057.138475437554,156556.8906597516,51774.20064992855,16703.460960236975,45993.19098704417,0
0x020b1573f2ca670190d33ca2f0a57b0c0399ad37,55.26409975000001,55.26796374999999,-0.0038639999999858,44,36,8,13.164099750000002,0.00258404,2.5120923522727274,3.673897485726621,1.0996640000000002,73,73,0,0,0,994,0,0.06841611996251172,0.9315838800374883,0.0,1.0,0.0,0.0,0.0,67717.19027299358,55395.624562733945,14247.824268285945,8388.177469808952,38383.44223321259,12027.734979036728,156527.66796258133,51744.90882646581,16674.046366780098,45962.00482160952,0
