0,1,2,3,4,5,6,7,8,9
10056.186099116767,74089.66019778191,38354.88830925737,119710.15605188157,98043.69773347386,16639.793389764807,67682.93490446953,11993.482351773413,51710.90325028021,18295.079406496192
10001.417802146874,74039.47288815923,38309.99267022787,119656.83282844066,98011.89639837922,16586.992016309257,67629.67573431652,11940.940031332435,51657.94824621398,18242.22117613731
10058.967605590684,74092.4006408819,38355.49044443623,119712.40337226316,98043.2215727988,16642.04815943146,67685.18494224317,11995.742775916207,51713.38170653645,18297.373508097666
10101.167100764977,74131.73482020621,38387.115176447114,119752.44716363231,98065.65383762405,16682.067881838226,67725.22812759446,12035.746274381436,51753.43369862397,18337.455861927578
10088.22102353721,74121.02575451267,38381.23165415042,119741.30907765152,98061.63845948402,16670.929979708642,67714.08633081362,12024.610915673018,51741.96002509044,18326.220082992273
10120.050440677362,74153.17162206687,38408.26733525756,119773.69806906112,98081.41151871852,16703.315687267746,67746.474318685,12056.993226744766,51774.05648333993,18358.594177332747
10118.424196153486,74151.56514309706,38406.917931167045,119772.09513021969,98080.45972630013,16701.712747653408,67744.87138907913,12055.390260322409,51772.462981264835,18356.991726726108
10112.067981143557,74145.1024796235,38401.07155259749,119765.62830297722,98076.17472186298,16695.246271537344,67738.40511058163,12048.924331716838,51766.096798778286,18350.53774758605
10119.987797335667,74153.08753158001,38408.177554206304,119773.61824271631,98081.2548610894,16703.23586174449,67746.39454083485,12056.913403108225,51773.9911789782,18358.514123635112
10120.213805514148,74153.32835069795,38408.40114355695,119773.85925479038,98081.51354628036,16703.476872162028,67746.63550621227,12057.154383026877,51774.21647494133,18358.755469802418
10120.115198095635,74153.22376097584,38408.304637467365,119773.75354439474,98081.43784403848,16703.371162001506,67746.52980909258,12057.048686215157,51774.11329802582,18358.650039616754
10099.716552747992,74133.3133098102,38391.52213358356,119753.83668381411,98069.58749040171,16683.45430159495,67726.61294000279,12037.131791952346,51754.30480848027,18338.73530567523
10118.39142974707,74151.39858082711,38406.70547183891,119771.92837325715,98080.23477132632,16701.545993523934,67744.70478155941,12055.223549686798,51772.318484743664,18356.828065957452
10118.961039889096,74152.14711506828,38407.18345108979,119772.67737909924,98080.47382547506,16702.29499936696,67745.45331876395,12055.972424176929,51772.99600070006,18357.567370882734
10116.500563585905,74149.64625175942,38405.23277000898,119770.17521113122,98079.2590161241,16699.792879823526,67742.9514088622,12053.470518386146,51770.54082354119,18355.071279033138
10119.108567672438,74152.24008444996,38407.48586288126,119772.77038435114,98080.8606991486,16702.388003195214,67745.54664167941,12056.065532133083,51773.134232940654,18357.6668831265
10059.736401048081,74094.1743325943,38356.86936276368,119714.3478426585,98043.50869188496,16644.013946732994,67687.12929000663,11997.71910533122,51714.79217438313,18299.30298947957
10115.44273708676,74148.64749630415,38404.45186928154,119769.145943881,98078.7153911479,16698.763593765765,67741.92222656743,12052.441323919733,51769.53404471434,18354.043202888162
10122.458559520643,74155.43879138626,38410.243781929115,119776.05096678545,98082.79899572824,16705.66887377566,67748.82726356226,12059.345917741222,51776.396277140826,18360.947330203995
10118.475174324825,74151.63322943686,38406.9696645381,119772.16131488958,98080.50215187267,16701.77893241778,67744.93756645633,12055.456458332754,51772.52791575907,18357.0577296581
10037.891040044655,74072.90010984863,38339.90570923304,119692.48139529744,98032.77869211588,16622.209748345864,67665.27164323626,11975.948054178045,51693.37805128126,18277.49133635688
10084.41954004354,74119.51887211733,38378.85769970452,119738.77884536261,98060.6290186647,16668.470642913584,67711.56416526086,12022.191040940745,51739.34365355483,18323.743234618647
10118.877571567236,74151.93662956047,38407.272232048614,119772.49547476818,98080.70018365934,16702.113147977776,67745.27176705966,12055.790434927176,51772.86457686335,18357.392567975807
10118.471325256107,74151.63488034884,38406.95311800708,119772.14991979662,98080.47463405787,16701.767546428244,67744.92617127464,12055.44515065893,51772.51542224214,18357.046524214376
10119.550720795803,74152.68309413675,38407.80580477668,119773.25279125468,98080.33272092913,16702.87047273055,67746.02875782107,12056.547785964625,51773.60544574993,18358.13718869895
10049.935199765076,74083.42864000075,38349.91326631544,119703.96114629059,98040.53067391299,16633.588053812247,67676.73914079774,11987.270939037742,51704.7931659684,18288.885918974927
10113.29018168009,74145.8617824677,38401.543433404746,119766.38837954111,98076.17516048439,16696.006063459165,67739.16562223858,12049.683876907107,51766.92578024102,18351.30607807698
10113.853196036782,74147.3367435112,38403.16195957188,119767.64368889756,98077.81152951386,16697.2636268895,67740.42020265516,12050.943870591427,51768.03536145119,18352.542295909916
10119.717084320928,74152.84371971524,38407.85443605727,119773.37425897531,98081.06387289986,16702.991879271314,67746.15066115584,12056.669423915428,51773.73859267699,18358.274588707754
10120.172668423025,74153.28860804623,38408.36727316828,119773.81907990236,98081.4896156218,16703.436697350164,67746.5953311668,12057.114218961628,51774.17651958594,18358.71529707238
8681.649378381293,72786.1107371702,36728.12897561333,118403.4380390359,96644.65766267569,15363.311717390341,66379.29919424787,10731.824305106366,50316.13200260629,17012.31269539437
10117.049916131857,74150.25167858366,38405.71318694991,119770.74892088855,98079.46406309279,16700.36666123862,67743.52504292385,12054.044547830514,51771.10864705058,18355.64173660231
10106.81099350161,74139.37182174431,38396.02705961511,119759.89564935672,98071.40568503675,16689.51340504011,67732.67238276989,12043.190896476073,51760.29731616549,18344.820121227036
10096.284774294412,74128.59406736653,38387.80650058604,119749.18059172913,98066.4885495202,16678.7984532113,67721.95732977298,12032.47563639773,51749.721184782924,18334.092127847955
10120.197512107194,74153.31301142901,38408.38772861604,119773.84334285703,98081.50406814134,16703.460960236975,67746.61959421236,12057.138475437554,51774.20064992855,18358.739558681526
10090.036002094477,74124.0421898613,38383.44223321259,119744.41197372711,98063.84942587896,16674.046366780098,67717.19027299358,12027.734979036728,51744.90882646581,18329.324038823663
10119.9280963325,74153.06122274564,38408.09768959363,119773.5918847103,98081.12708191984,16703.209505968214,67746.36829994759,12056.887079294407,51773.94645568752,18358.490407342233
10101.048136445668,74135.25329356802,38392.600642837155,119755.10691003587,98070.3467790811,16684.745690037947,67727.8857133792,12038.437805166779,51755.57112138934,18340.02301834129
10016.485307035859,74054.71504608887,38322.44205755477,119671.45690719235,98020.72257963456,16601.71901832409,67644.31267888546,11955.715715422139,51672.53108226594,18256.9369474786
10113.959510257717,74146.89582385193,38402.833102164295,119767.36890390818,98077.4518313801,16696.98677376255,67740.14544685047,12050.664833072511,51767.78982826954,18352.27321906885
10119.612091118375,74152.76129770548,38407.939225482245,119773.31133841458,98080.57544092357,16702.92899101078,67746.0873013019,12056.606386036789,51773.66390775724,18358.195699178992
10081.69921568694,74117.49396493503,38376.71790326409,119736.00480325002,98059.20693760902,16665.767841962774,67708.79913859956,12019.523944661467,51736.633794761714,18321.036569261676
10115.214447112969,74148.15691766381,38403.645445146605,119768.68446021587,98077.83694998921,16698.302194029533,67741.4613117733,12051.980052921741,51769.15504295443,18353.59333774687
10118.63975784167,74151.60318935277,38406.70103551791,119772.10488975668,98080.0545067198,16701.722575130072,67744.88153196055,12055.40041203967,51772.531032442435,18357.00855674574
10104.398656645502,74138.41775871879,38395.36587744046,119758.39031020092,98072.30152248526,16688.0223228222,67731.16828623481,12041.71050489966,51758.835129292114,18343.30019453332
10111.589149208748,74144.55888686262,38401.29661713891,119765.43233632154,98076.49034126157,16695.05297864903,67738.20893566129,12048.733510579832,51765.836104373695,18350.331765895906
10119.528331075146,74152.55926702873,38407.639457395526,119773.08812947388,98080.84820313212,16702.70575099472,67745.86457099472,12056.383332692048,51773.47882005806,18357.98799448754
10115.80445077315,74148.82502784734,38404.6649597291,119769.34262777172,98078.7985956695,16698.960257721556,67742.11895633968,12052.63787434424,51769.73878174373,18354.240410551203
10116.116832290902,74149.2352332512,38405.02767598545,119769.85766491818,98079.13001723231,16699.47558311389,67742.63396282439,12053.152730003978,51770.23715947503,18354.75475546576
10120.162376129232,74153.27400627967,38408.35090568413,119773.80453713231,98081.47165403771,16703.422154581443,67746.5807958773,12057.099670590716,51774.1631796713,18358.70089789755
10120.185762551173,74153.30130613825,38408.37805501365,119773.83186866305,98081.49723339468,16703.44948603579,67746.60812001929,12057.1269994149,51774.18923918446,18358.728085794275
